L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
476564,4381461,3,39179,35187307,3238401,3053,70386093,18121358,3,18096943,598271,462534,2,509432,462505,18096943,40893,3066,49541382
472185,4869056,12,37601,35165289,3183398,2737,70362280,18129846,12,18122409,593861,512462,6,568508,512139,18122409,38297,2721,49613106
479940,5125354,0,39132,35209393,3231059,2979,70337166,18101020,0,18100770,597998,537314,1,597905,537303,18100771,40640,2983,49494027
456052,5134277,3,37586,35176162,3186843,2883,70283595,18124467,3,17249877,591839,538018,3,599160,538178,17249877,37545,2875,49705291
416748,5106053,1,35489,35193278,3245767,3608,70287067,18086757,1,15493110,600873,531900,2,595488,531805,15493110,42481,3627,49521450
434532,5108800,2,35814,35178851,3181520,3443,70279115,18111974,2,16289837,592272,532512,2,595418,532431,16289837,50708,3435,49716363
489418,5109075,1,48313,35260275,3254529,3437,70337884,18095971,1,17685103,602434,529137,2,592620,529514,17685102,42077,3437,49610234
466478,5122070,4,37004,35163016,3237142,2968,70295818,18121878,4,18113476,598693,529164,1,596126,528660,18113477,39917,2975,49724899
474452,5120888,0,39584,35183580,3216889,2838,70276217,18125068,0,18104845,596501,529376,0,595792,529863,18104846,39583,2827,49565320
469354,4678596,0,37249,35165771,3194349,2861,70406280,18114466,0,18131838,593374,493989,0,543796,494009,18131837,38195,2863,49613807
474540,4422642,2,38662,35145729,3231522,3162,70395370,18131395,2,18112840,598128,475146,2,514488,475116,18112838,40792,3157,49595777
464765,4810616,5,38461,35142288,3222435,2809,70332425,18107546,5,17389062,596886,500246,1,561528,500278,17389063,39911,2810,49711095
415416,5098967,2,34735,35163973,3224166,2818,70356257,18120430,2,15531403,594683,523957,1,593993,523907,15531404,39318,2838,49731644
429691,4687655,2,35865,35199789,3235394,3094,70391679,18119931,2,16160068,594469,491617,0,545187,491661,16160069,39065,3073,49686669
